tanggal,provinsi,kab_kota,latitude,longitude,suhu_max,suhu_min,suhu_mean,suhu_feels_like_max,curah_hujan_mm,kelembapan,kecepatan_angin,tekanan_udara,awan_persen,waktu_ingest,sumber
2026-01-01,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,28.5,25.4,27.4,32.4,8.2,80,23.6,1008.5,100,2026-06-01T21:02:39.039627,Open-Meteo_Archive
2026-01-02,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,27.4,25.4,26.4,31.8,27.8,83,23.4,1010.0,100,2026-06-01T21:02:42.246556,Open-Meteo_Archive
2026-01-03,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,27.8,26.1,26.9,31.6,12.8,80,27.2,1010.6,100,2026-06-01T21:02:44.976963,Open-Meteo_Archive
2026-01-04,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,28.8,26.0,27.6,32.8,4.7,78,23.9,1011.0,100,2026-06-01T21:02:47.317141,Open-Meteo_Archive
2026-01-05,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,29.0,26.2,27.9,33.2,1.6,79,22.8,1011.1,96,2026-06-01T21:02:52.508043,Open-Meteo_Archive
2026-01-06,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,29.3,27.2,28.2,34.0,0.7,79,23.5,1010.5,99,2026-06-01T21:02:55.086503,Open-Meteo_Archive
2026-01-07,DKI JAKARTA,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271,29.8,25.6,27.7,34.5,7.8,81,22.2,1010.6,100,2026-06-01T21:03:01.345517,Open-Meteo_Archive
2026-01-01,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135,29.8,23.8,26.1,35.9,7.5,86,14.3,1008.6,98,2026-06-01T21:03:09.242984,Open-Meteo_Archive
2026-01-02,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135,30.4,23.4,25.5,36.9,34.0,88,9.4,1009.9,97,2026-06-01T21:03:15.559532,Open-Meteo_Archive
2026-01-03,DKI JAKARTA,KOTA JAKARTA SELATAN,-6.266,106.8135,26.8,23.6,24.7,31.2,18.1,90,11.8,1010.7,100,2026-06-01T21:03:21.150394,Open-Meteo_Archive
